Deposit Date,1st receipt#,last receipt#, total deposit ,# receipts,VOID,Number of Visitors,Inspection Stops,Inspection Requests
1/3/2011,,,,,,34,,
1/4/2011,,,,,,12,,
1/5/2011,,,,,,10,,
1/6/2011,,,,,,15,,
1/7/2011,,,,,,16,,
1/10/2011,,,,,,10,,
1/11/2011,,,,,,11,,
1/12/2011,,,,,,16,,
1/13/2011,,,,,,18,,
1/14/2011,,,,,,15,,
1/18/2011,,,,,,12,,
1/19/2011,,,,,,17,,
1/20/2011,,,,,,13,,
1/21/2011,,,,,,9,,
1/24/2011,,,,,,14,,
1/25/2011,,,,,,22,,
1/26/2011,,,,,,16,,
1/27/2011,,,,,,21,,
1/28/2011,,,,,,17,,
1/31/2011,,,,,,21,,
2/1/2011,,,,,,13,,
2/2/2011,,,,,,6,,
2/3/2011,,,,,,22,,
2/7/2011,,,,,,9,,
2/8/2011,,,,,,26,,
2/9/2011,,,,,,11,,
2/10/2011,,,,,,14,,
2/11/2011,,,,,,12,,
2/14/2011,,,,,,16,,
2/15/2011,,,,,,16,,
2/16/2011,,,,,,15,,
2/17/2011,,,,,,35,,
2/18/2011,,,,,,13,,
2/22/2011,,,,,,17,,
2/23/2011,,,,,,15,,
2/24/2011,,,,,,10,,
2/25/2011,,,,,,10,,
3/1/2011,,,,,,14,,
3/2/2011,,,,,,10,,
3/3/2011,,,,,,20,,
3/4/2011,,,,,,16,,
3/7/2011,,,,,,28,,
3/9/2011,,,,,,17,,
3/10/2011,,,,,,26,,
3/11/2011,,,,,,14,,
3/14/2011,,,,,,16,,
3/15/2011,,,,,,17,,
3/16/2011,,,,,,20,,
3/17/2011,,,,,,19,,
3/18/2011,,,,,,14,,
3/21/2011,,,,,,17,,
3/22/2011,,,,,,20,,
3/23/2011,,,,,,14,,
3/24/2011,,,,,,11,,
3/25/2011,,,,,,13,,
3/29/2011,,,,,,15,,
3/30/2011,,,,,,9,,
4/1/2011,,,,,,19,,
4/4/2011,,,,,,13,,
4/5/2011,,,,,,19,,
4/6/2011,,,,,,12,,
4/7/2011,,,,,,15,,
4/8/2011,,,,,,13,,
4/11/2011,,,,,,16,,
4/12/2011,,,,,,8,,
4/13/2011,,,,,,13,,
4/14/2011,,,,,,16,,
4/15/2011,,,,,,6,,
4/18/2011,,,,,,25,,
4/19/2011,,,,,,17,,
4/20/2011,,,,,,25,,
4/21/2011,,,,,,12,,
4/22/2011,,,,,,9,,
4/25/2011,,,,,,12,,
4/26/2011,,,,,,17,,
4/28/2011,,,,,,29,,
